"","CLDN18","cMET","HER2","EGFR","TROP2"
"TCGA-BR-8296",11.2314216696844,6.41434739012536,7.08721006540616,4.85866801005911,9.13245915875992
"TCGA-CG-5734",9.03735779768485,4.7008958972086,5.09373484842901,3.63644164150583,7.44093960762038
"TCGA-HU-8604",-2.32192809488736,5.92247554024108,5.19042608135293,3.40099061949076,6.20905099438266
"TCGA-BR-4267",12.7445067455568,6.76610523193251,6.52976613247419,4.47005001516116,9.70993759878609
"TCGA-BR-8081",0.584995037183628,5.41795074351784,5.97228262644193,4.55679104313217,1.45978024405015
"TCGA-CG-4465",4.64708951216254,6.77712843434166,5.98938824803517,5.35761708797563,4.62354354848712
"TCGA-CG-5726",10.5703376201339,5.7658084039495,7.39846083874918,4.39574537336836,5.09984339676422
"TCGA-IN-8462",9.29228947049584,4.7156966695971,6.33940196785179,6.14668353574161,10.4353770403654
"TCGA-RD-A7C1",10.8110392207634,5.70432043152159,4.99428239495246,9.70182516920318,2.5182320537875
"TCGA-BR-7959",8.83891544952262,6.16175978342941,7.44075285081884,5.34290499204571,9.56815004556737
"TCGA-CD-8525",6.05620303499884,3.82781156979482,5.60532458891818,2.56553634066063,8.16730311979082
"TCGA-BR-8384",9.17379481073922,5.63808350604051,5.73293635101035,6.22513131646981,5.04320303101791
"TCGA-SW-A7EB",8.68611252188846,4.99216703979819,6.11476885142375,4.80640390345634,8.53378992629925
"TCGA-CD-5800",2.95952351900061,4.43118697237807,9.82579292456999,3.55367047829084,8.20361051158826
"TCGA-R5-A805",10.6383820284706,6.4822659779294,6.49078772774222,4.93802193814706,8.9153081351773
"TCGA-RD-A8NB",7.18605171744093,6.84312260516754,6.87369265540326,5.52350635404728,7.97537808072401
"TCGA-BR-A44T",0.629472354207985,3.74583988986105,4.53279897402113,4.970210426289,3.97583826237792
"TCGA-HU-A4GY",6.66854538897598,4.78383092071777,5.23121148989729,5.04312313828071,5.97621156380686
"TCGA-RD-A8N2",5.4339091361024,4.36228319108255,4.68218520273093,5.74407772129403,4.85002991128982
"TCGA-CG-4301",9.50967680809824,5.67171115298428,11.2410209577471,4.54522334751271,7.85671023738306
