"","TROP2","CLDN18","HER2","cMET","EGFR"
"TCGA-XD-AAUL-01A-21R-A39D-07",10.6909906954288,8.77547802479028,7.01600861455872,6.59447393909474,4.51347227184557
"TCGA-FB-AAQ1-01A-12R-A41B-07",9.69015648202202,0.91619705013175,6.77468496195395,8.5827226570818,5.59321605618243
"TCGA-2J-AABV-01A-12R-A41B-07",6.33674409982979,6.19229299951838,3.70125470934327,1.94275919205694,1.24977082874307
"TCGA-HV-A5A3-01A-11R-A26U-07",11.1576457886528,7.73742748705966,7.6221698188376,7.28989704610082,5.26665075978965
"TCGA-HZ-8637-01A-11R-2404-07",7.31422907366541,8.13922298065223,6.14113639271407,5.19554240160061,4.67898186750407
"TCGA-IB-7891-01A-11R-2204-07",7.80658408087108,8.5446879015154,5.72926922884984,5.88694101066292,4.59064002237897
"TCGA-IB-7645-01A-22R-2204-07",7.9890796801664,9.90760209956474,6.32136610334018,6.88229170227388,5.74360459227208
"TCGA-IB-7897-01A-21R-2204-07",6.65138229824234,6.71997336196058,5.23563215588482,6.18962580975823,5.25958697190832
"TCGA-PZ-A5RE-01A-11R-A32O-07",10.0105001212167,8.04530694558557,6.79652555110675,5.99404384833377,4.85031527406949
"TCGA-2L-AAQM-01A-11R-A39D-07",2.36974825216058,-2.32192809488736,3.57807632382617,1.84164719475846,5.50884579482827
